Codebook Index Counts:
Index 411: 11905
Index 412: 20333
Index 413: 39433
Index 414: 157
Index 415: 1783
Index 416: 37
Index 417: 375
Index 418: 5357
Index 419: 6
Index 420: 406
Index 421: 67
Index 422: 2193
Index 423: 169
Index 424: 271
Index 425: 94
Index 426: 72
Index 427: 1059
Index 428: 4635
Index 429: 8076
Index 430: 1023
Index 432: 89
Index 433: 4734
Index 434: 34
Index 435: 2682
Index 436: 1381
Index 437: 12216
Index 438: 33
Index 439: 2523
Index 440: 10291
Index 441: 303
Index 442: 534
Index 443: 943
Index 444: 1182
Index 445: 7
Index 446: 2500
Index 447: 13
Index 448: 114
Index 449: 4
Index 450: 2446
Index 451: 196
Index 452: 677
Index 453: 7
Index 454: 5430
Index 455: 3227
Index 456: 608
Index 457: 10172
Index 458: 444
Index 459: 13132
Index 460: 178
Index 461: 2747
Index 462: 1087
Index 463: 177
Index 464: 67283
Index 465: 2306
Index 466: 4709
Index 467: 403
Index 468: 3664
Index 469: 30
Index 470: 4316
Index 471: 50
Index 472: 6994
Index 473: 2520
Index 474: 2678
Index 475: 1
Index 476: 143
Index 477: 3826
Index 478: 286
Index 479: 983
Index 480: 5
Index 482: 1
Index 483: 14214
Index 484: 167
Index 486: 4781
Index 487: 1992
Index 488: 5627
Index 489: 411
Index 490: 9453
Index 491: 12408
Index 493: 5996
Index 494: 23
Index 495: 320
Index 496: 48
Index 497: 132
Index 498: 1015
Index 499: 405
Index 500: 17262
Index 501: 3
Index 502: 1118
Index 503: 2634
Index 504: 170
Index 505: 2191
Index 506: 6849
Index 507: 2395
Index 508: 5380
Index 509: 2280
Index 510: 2738
Index 511: 416
Index 512: 444
Index 513: 1360
Index 514: 34069
Index 515: 4471
Index 516: 109
Index 517: 3185
Index 518: 1
Index 520: 1906
Index 521: 9210
Index 522: 9714
Index 523: 211
Index 524: 4902
Index 525: 428
Index 526: 20
Index 527: 845
Index 528: 49304
Index 529: 1670
Index 530: 530
Index 531: 6194
Index 532: 1146
Index 533: 35591
Index 534: 1170
Index 537: 132
Index 538: 3380
Index 539: 180
Index 540: 13030
Index 541: 5
Index 542: 4987
Index 543: 201
Index 544: 61
Index 545: 2364
Index 546: 79
Index 547: 57
Index 548: 558
Index 549: 3
Index 550: 4099
Index 551: 14460
Index 552: 3
Index 553: 666
Index 554: 398
Index 555: 3349
Index 556: 17
Index 557: 281
Index 558: 7748
Index 559: 4204
Index 560: 74
Index 561: 267
Index 562: 67
Index 563: 1
Index 565: 4869
Index 566: 6530
Index 567: 286
Index 568: 4082
Index 569: 36852
Index 571: 153
Index 572: 55
Index 573: 1791
Index 574: 1958
Index 575: 58
Index 576: 140
Index 577: 8905
Index 578: 75
Index 579: 1109
Index 580: 897
Index 581: 7
Index 582: 11006
Index 583: 1474
Index 584: 388
Index 585: 11757
Index 586: 3361
Index 587: 314
Index 588: 2
Index 589: 122
Index 590: 2732
Index 591: 2674
Index 592: 163
Index 594: 6649
Index 595: 767
Index 596: 615
Index 597: 637
Index 598: 169
Index 599: 86
Index 600: 17308
Index 601: 976
Index 602: 45073
Index 603: 1340
Index 604: 647
Index 605: 4649
Index 606: 5855
Index 607: 2526
Index 608: 1520
Index 609: 12039
Index 610: 1810
Index 611: 10085
Index 612: 114
Index 613: 1120
Index 614: 1173
Index 615: 4048
Index 616: 2908
Index 617: 9930
Index 618: 33601
Index 619: 19218
Index 620: 2527
Index 621: 708
Index 622: 306
Index 623: 742
Index 624: 1827
Index 625: 4160
Index 626: 2
Index 627: 4
Index 628: 7732
Index 629: 1302
Index 630: 15
Index 631: 5452
Index 632: 1096
Index 634: 4185
Index 635: 187
Index 636: 18849
Index 637: 437
Index 638: 7
Index 639: 779
Index 640: 1
Index 641: 116
Index 642: 498
Index 643: 4077
Index 644: 4312
Index 645: 4399
Index 646: 193
Index 647: 1086
Index 648: 888
Index 649: 5309
Index 650: 643
Index 651: 242
Index 652: 80
Index 653: 62
Index 654: 47
Index 655: 2168
Index 656: 53
Index 657: 206
Index 658: 1409
Index 659: 4244
Index 660: 2839
Index 661: 2391
Index 662: 860
Index 663: 13684
Index 664: 3
Index 665: 15626
Index 666: 527
Index 667: 938
Index 668: 5569
Index 669: 31
Index 670: 4
Index 671: 2249
